Bridge,Leg,f0,S21 dB,
0.240000, 0.360000, 3.971643, -5.737976,
0.240000, 0.362800, 3.954962, -5.730279,
0.240000, 0.368000, 3.924937, -5.604620,
0.240000, 0.369200, 3.913261, -5.674983,
0.240000, 0.375600, 3.851543, -5.642895,
0.240000, 0.376000, 3.853211, -5.732490,
0.240000, 0.382000, 3.814846, -5.753064,
0.240000, 0.384000, 3.803169, -5.619892,
0.240000, 0.392000, 3.739783, -5.800722,
0.240000, 0.400000, 3.684737, -5.629824,
0.240000, 0.405714, 3.648040, -5.693201,
0.240000, 0.411000, 3.611343, -5.674123,
0.240000, 0.411429, 3.606339, -5.699524,
0.245000, 0.356400, 3.973311, -5.784341,
0.245000, 0.358000, 3.948290, -5.932899,
0.245000, 0.362800, 3.934946, -5.798170,
0.245000, 0.366000, 3.924937, -5.869832,
0.245000, 0.369200, 3.883236, -5.734541,
0.245000, 0.374000, 3.846539, -5.778188,
0.245000, 0.375600, 3.834862, -5.829797,
0.245000, 0.382000, 3.793161, -5.790172,
0.245000, 0.390000, 3.736447, -5.837482,
0.245000, 0.397143, 3.684737, -5.858925,
0.245000, 0.404286, 3.638032, -5.888715,
0.245000, 0.410000, 3.592994, -5.849148,
0.245000, 0.411429, 3.579650, -5.790617,
0.245000, 0.418571, 3.522936, -5.760715,
0.245000, 0.425714, 3.474562, -6.057915,
0.245000, 0.432857, 3.419516, -6.191414,
0.245000, 0.440000, 3.316097, -6.783834,
0.252000, 0.350000, 3.989992, -5.977609,
0.252000, 0.354800, 3.963303, -6.020851,
0.252000, 0.358000, 3.903253, -6.044436,
0.252000, 0.359600, 3.921601, -6.030917,
0.252000, 0.364400, 3.884904, -6.057945,
0.252000, 0.366000, 3.866555, -6.087186,
0.252000, 0.369200, 3.856547, -6.045096,
0.252000, 0.374000, 3.828190, -6.119728,
0.252000, 0.382000, 3.763136, -5.943064,
0.252000, 0.390000, 3.701418, -5.957639,
0.252000, 0.397143, 3.654712, -6.066127,
0.252000, 0.404286, 3.608007, -6.037213,
0.252000, 0.405000, 3.599666, -5.832664,
0.252000, 0.411429, 3.556297, -6.040397,
0.252000, 0.418571, 3.486239, -6.026137,
0.252000, 0.425714, 3.404504, -6.409079,
0.252000, 0.432857, 3.381151, -6.273884,
0.252000, 0.440000, 3.371143, -41.173600,
0.258000, 0.347286, 3.978315, -6.095832,
0.258000, 0.350857, 3.969975, -6.108863,
0.258000, 0.353143, 3.946622, -6.157855,
0.258000, 0.354429, 3.933278, -6.130733,
0.258000, 0.358000, 3.913261, -6.055103,
