X, Y, MAG,
-10,-10,3.10754e-08,
-9.9,-10,3.13837e-08,
-9.8,-10,3.16949e-08,
-9.7,-10,3.20092e-08,
-9.6,-10,3.23264e-08,
-9.5,-10,3.26465e-08,
-9.4,-10,3.29696e-08,
-9.3,-10,3.32956e-08,
-9.2,-10,3.36246e-08,
-9.1,-10,3.39564e-08,
-9,-10,3.42911e-08,
-8.9,-10,3.46286e-08,
-8.8,-10,3.4969e-08,
-8.7,-10,3.53121e-08,
-8.6,-10,3.56581e-08,
-8.5,-10,3.60067e-08,
-8.4,-10,3.6358e-08,
-8.3,-10,3.67119e-08,
-8.2,-10,3.70685e-08,
-8.1,-10,3.74276e-08,
-8,-10,3.77891e-08,
-7.9,-10,3.81531e-08,
-7.8,-10,3.85195e-08,
-7.7,-10,3.88882e-08,
-7.6,-10,3.92591e-08,
-7.5,-10,3.96322e-08,
-7.4,-10,4.00074e-08,
-7.3,-10,4.03845e-08,
-7.2,-10,4.07636e-08,
-7.1,-10,4.11445e-08,
-7,-10,4.15272e-08,
-6.9,-10,4.19114e-08,
-6.8,-10,4.22972e-08,
-6.7,-10,4.26844e-08,
-6.6,-10,4.30728e-08,
-6.5,-10,4.34625e-08,
-6.4,-10,4.38532e-08,
-6.3,-10,4.42448e-08,
-6.2,-10,4.46371e-08,
-6.1,-10,4.50301e-08,
-6,-10,4.54236e-08,
-5.9,-10,4.58174e-08,
-5.8,-10,4.62114e-08,
-5.7,-10,4.66053e-08,
-5.6,-10,4.69991e-08,
-5.5,-10,4.73925e-08,
-5.4,-10,4.77855e-08,
-5.3,-10,4.81776e-08,
-5.2,-10,4.85689e-08,
-5.1,-10,4.8959e-08,
-5,-10,4.93479e-08,
-4.9,-10,4.97352e-08,
-4.8,-10,5.01207e-08,
-4.7,-10,5.05043e-08,
-4.6,-10,5.08857e-08,
-4.5,-10,5.12647e-08,
-4.4,-10,5.1641e-08,
-4.3,-10,5.20145e-08,
-4.2,-10,5.23848e-08,
-4.1,-10,5.27517e-08,
-4,-10,5.31149e-08,
-3.9,-10,5.34743e-08,
-3.8,-10,5.38295e-08,
-3.7,-10,5.41803e-08,
-3.6,-10,5.45265e-08,
-3.5,-10,5.48677e-08,
-3.4,-10,5.52036e-08,
-3.3,-10,5.55341e-08,
-3.2,-10,5.58588e-08,
-3.1,-10,5.61775e-08,
-3,-10,5.64899e-08,
-2.9,-10,5.67958e-08,
-2.8,-10,5.70948e-08,
-2.7,-10,5.73866e-08,
-2.6,-10,5.76711e-08,
-2.5,-10,5.79479e-08,
-2.4,-10,5.82168e-08,
-2.3,-10,5.84775e-08,
-2.2,-10,5.87298e-08,
-2.1,-10,5.89734e-08,
-2,-10,5.9208e-08,
-1.9,-10,5.94334e-08,
-1.8,-10,5.96494e-08,
-1.7,-10,5.98557e-08,
