"indep(__d, 1)
References : ['plot_vs(Pout,Pin)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(Pout,Pin)
References : []
Dependency : []
Num. Points : [100]
Matrix Size : scalar
Type : Real"
-30.000,-18.047
-29.596,-17.643
-29.192,-17.239
-28.788,-16.835
-28.384,-16.431
-27.980,-16.027
-27.576,-15.623
-27.172,-15.219
-26.768,-14.814
-26.364,-14.410
-25.960,-14.006
-25.556,-13.602
-25.152,-13.198
-24.747,-12.794
-24.343,-12.389
-23.939,-11.985
-23.535,-11.581
-23.131,-11.177
-22.727,-10.772
-22.323,-10.368
-21.919,-9.964
-21.515,-9.559
-21.111,-9.155
-20.707,-8.751
-20.303,-8.346
-19.899,-7.942
-19.495,-7.537
-19.091,-7.132
-18.687,-6.728
-18.283,-6.323
-17.879,-5.918
-17.475,-5.513
-17.071,-5.108
-16.667,-4.703
-16.263,-4.298
-15.859,-3.893
-15.455,-3.488
-15.051,-3.082
-14.646,-2.677
-14.242,-2.271
-13.838,-1.865
-13.434,-1.459
-13.030,-1.053
-12.626,-0.646
-12.222,-0.239
-11.818,0.168
-11.414,0.575
-11.010,0.983
-10.606,1.391
-10.202,1.799
-9.798,2.208
-9.394,2.618
-8.990,3.028
-8.586,3.438
-8.182,3.849
-7.778,4.261
-7.374,4.674
-6.970,5.087
-6.566,5.501
-6.162,5.917
-5.758,6.334
-5.354,6.751
-4.949,7.171
-4.545,7.591
-4.141,8.014
-3.737,8.438
-3.333,8.864
-2.929,9.293
-2.525,9.724
-2.121,10.157
-1.717,10.593
-1.313,11.031
-0.909,11.472
-0.505,11.916
-0.101,12.361
0.303,12.807
0.707,13.251
1.111,13.691
1.515,14.119
1.919,14.520
2.323,14.860
2.727,15.098
3.131,15.260
3.535,15.383
3.939,15.466
4.343,15.536
4.747,15.618
5.152,15.716
5.556,15.825
5.960,15.937
6.364,16.047
6.768,16.150
7.172,16.241
7.576,16.318
7.980,16.387
8.384,16.465
8.788,16.574
9.192,16.738
9.596,16.941
10.000,17.103
