"indep(__d, 1)
References : ['plot_vs(Pout,Pin)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(Pout,Pin)
References : []
Dependency : []
Num. Points : [100]
Matrix Size : scalar
Type : Real"
-25.000,-9.009
-24.545,-8.554
-24.091,-8.098
-23.636,-7.643
-23.182,-7.188
-22.727,-6.733
-22.273,-6.277
-21.818,-5.821
-21.364,-5.366
-20.909,-4.910
-20.455,-4.454
-20.000,-3.998
-19.545,-3.541
-19.091,-3.085
-18.636,-2.628
-18.182,-2.171
-17.727,-1.714
-17.273,-1.256
-16.818,-0.798
-16.364,-0.340
-15.909,0.118
-15.455,0.578
-15.000,1.037
-14.545,1.498
-14.091,1.958
-13.636,2.420
-13.182,2.882
-12.727,3.346
-12.273,3.810
-11.818,4.276
-11.364,4.742
-10.909,5.210
-10.455,5.680
-10.000,6.151
-9.545,6.624
-9.091,7.100
-8.636,7.578
-8.182,8.058
-7.727,8.541
-7.273,9.028
-6.818,9.518
-6.364,10.011
-5.909,10.509
-5.455,11.009
-5.000,11.513
-4.545,12.019
-4.091,12.525
-3.636,13.029
-3.182,13.524
-2.727,14.003
-2.273,14.454
-1.818,14.870
-1.364,15.251
-0.909,15.602
-0.455,15.927
-1.921E-14,16.225
0.455,16.492
0.909,16.722
1.364,16.907
1.818,17.045
2.273,17.143
2.727,17.208
3.182,17.247
3.636,17.266
4.091,17.272
4.545,17.264
5.000,17.240
5.455,17.212
5.909,17.185
6.364,17.152
6.818,17.106
7.273,17.060
7.727,17.016
8.182,16.964
8.636,16.904
9.091,16.840
9.545,16.783
10.000,16.742
10.455,16.701
10.909,16.646
11.364,16.568
11.818,16.468
12.273,16.373
12.727,16.303
13.182,16.240
13.636,16.161
14.091,16.043
14.545,15.904
15.000,15.759
15.455,15.628
15.909,15.511
16.364,15.403
16.818,15.312
17.273,15.250
17.727,15.218
18.182,15.213
18.636,15.246
19.091,15.330
19.545,15.481
20.000,15.704
