"indep(__d, 1)
References : ['plot_vs(Pout, Pin)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(Pout, Pin)
References : []
Dependency : []
Num. Points : [61]
Matrix Size : scalar
Type : Real"
-50.000,-34.847
-49.000,-33.847
-48.000,-32.847
-47.000,-31.847
-46.000,-30.847
-45.000,-29.847
-44.000,-28.847
-43.000,-27.847
-42.000,-26.847
-41.000,-25.847
-40.000,-24.847
-39.000,-23.847
-38.000,-22.847
-37.000,-21.847
-36.000,-20.847
-35.000,-19.847
-34.000,-18.847
-33.000,-17.847
-32.000,-16.846
-31.000,-15.846
-30.000,-14.846
-29.000,-13.846
-28.000,-12.845
-27.000,-11.844
-26.000,-10.844
-25.000,-9.843
-24.000,-8.841
-23.000,-7.840
-22.000,-6.838
-21.000,-5.835
-20.000,-4.832
-19.000,-3.828
-18.000,-2.823
-17.000,-1.817
-16.000,-0.809
-15.000,0.201
-14.000,1.213
-13.000,2.229
-12.000,3.249
-11.000,4.275
-10.000,5.307
-9.000,6.348
-8.000,7.400
-7.000,8.466
-6.000,9.548
-5.000,10.649
-4.000,11.767
-3.000,12.890
-2.000,13.975
-1.000,14.927
0.000,15.723
1.000,16.373
2.000,16.799
3.000,16.999
4.000,17.083
5.000,17.106
6.000,17.110
7.000,17.100
8.000,17.071
9.000,17.036
10.000,16.996
